Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Engine size_win,Year of manufacture_win,Mileage_win,Price_win
Toyota,Prius,1.0,Hybrid,1990,238571,961,1.0,1990,238571.0,961.0
Porsche,911,2.6,Petrol,2009,66273,41963,2.6,2009,66273.0,41963.0
Toyota,Prius,1.8,Hybrid,2017,31958,38961,1.8,2017,31958.0,38961.0
Porsche,911,3.5,Petrol,2005,151556,19747,2.9000000000000004,2005,151556.0,19747.0
Toyota,Yaris,1.2,Petrol,2002,179097,2548,1.2,2002,179097.0,2548.0
VW,Golf,2.0,Petrol,2020,18985,36387,2.0,2020,18985.0,36387.0
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,1.8,2002,66990.0,13553.0
Ford,Focus,1.0,Hybrid,2010,85131,12472,1.0,2010,85131.0,12472.0
Ford,Fiesta,1.0,Petrol,2001,144731,2503,1.0,2001,144731.0,2503.0
VW,Polo,2.0,Diesel,2008,97001,8784,2.0,2008,97001.0,8784.0
VW,Polo,1.6,Petrol,2016,52409,17257,1.6,2016,52409.0,17257.0
Ford,Fiesta,1.4,Petrol,2010,112714,6936,1.4,2010,112714.0,6936.0
VW,Passat,2.0,Diesel,1992,198540,1964,2.0,1992,198540.0,1964.0
VW,Passat,1.8,Diesel,1989,213162,1340,1.8,1989,213162.0,1340.0
BMW,Z4,2.2,Petrol,2005,133174,8511,2.2,2005,133174.0,8511.0
VW,Polo,1.6,Petrol,2008,129588,5848,1.6,2008,129588.0,5848.0
BMW,Z4,2.0,Petrol,1990,148586,2637,2.0,1990,148586.0,2637.0
Ford,Focus,2.0,Petrol,1995,91173,5181,2.0,1995,91173.0,5181.0
BMW,M5,4.0,Petrol,2017,22759,97758,2.9000000000000004,2017,22759.0,42975.125
VW,Polo,1.4,Petrol,1990,261526,522,1.4,1990,261526.0,522.0
VW,Passat,1.4,Diesel,1995,235594,1439,1.4,1995,235594.0,1439.0
BMW,Z4,2.0,Petrol,1995,42759,7873,2.0,1995,42759.0,7873.0
VW,Passat,1.8,Diesel,2005,103352,9633,1.8,2005,103352.0,9633.0
VW,Passat,1.6,Petrol,2003,63372,10001,1.6,2003,63372.0,10001.0
Toyota,Yaris,1.0,Petrol,2009,51787,9689,1.0,2009,51787.0,9689.0
Ford,Fiesta,1.4,Petrol,2014,41495,14721,1.4,2014,41495.0,14721.0
Toyota,Yaris,1.4,Petrol,2010,43111,12928,1.4,2010,43111.0,12928.0
Ford,Fiesta,1.0,Diesel,2017,38370,16257,1.0,2017,38370.0,16257.0
Toyota,RAV4,2.4,Petrol,2018,24588,49125,2.4,2018,24588.0,42975.125
VW,Polo,1.0,Diesel,2000,207339,1480,1.0,2000,207339.0,1480.0
Ford,Fiesta,1.0,Petrol,1990,182958,873,1.0,1990,182958.0,873.0
VW,Passat,1.6,Diesel,1994,114647,4008,1.6,1994,114647.0,4008.0
VW,Polo,1.0,Petrol,1995,162993,1482,1.0,1995,162993.0,1482.0
VW,Golf,1.2,Petrol,2002,139884,3713,1.2,2002,139884.0,3713.0
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,2.6,2015,33693.0,42975.125
BMW,Z4,2.2,Petrol,2004,126777,8373,2.2,2004,126777.0,8373.0
Ford,Fiesta,1.2,Petrol,2010,51553,9813,1.2,2010,51553.0,9813.0
Toyota,Yaris,1.0,Petrol,2010,75821,8851,1.0,2010,75821.0,8851.0
VW,Polo,1.4,Diesel,2010,45193,11881,1.4,2010,45193.0,11881.0
VW,Polo,1.6,Petrol,1997,87723,3840,1.6,1997,87723.0,3840.0
Ford,Focus,1.8,Petrol,1993,279656,863,1.8,1993,279656.0,863.0
VW,Golf,2.0,Hybrid,2018,25017,36957,2.0,2018,25017.0,36957.0
Ford,Fiesta,1.2,Petrol,1996,111771,2543,1.2,1996,111771.0,2543.0
Toyota,Prius,1.4,Hybrid,2016,43893,29946,1.4,2016,43893.0,29946.0
Toyota,Yaris,1.0,Petrol,2007,118788,5306,1.0,2007,118788.0,5306.0
Toyota,Prius,1.4,Hybrid,2016,43130,30085,1.4,2016,43130.0,30085.0
VW,Passat,1.6,Diesel,1991,247911,1052,1.6,1991,247911.0,1052.0
Ford,Focus,2.0,Petrol,1991,272161,854,2.0,1991,272161.0,854.0
VW,Passat,1.6,Diesel,1994,179361,2371,1.6,1994,179361.0,2371.0
Ford,Fiesta,1.0,Petrol,2009,66424,7616,1.0,2009,66424.0,7616.0
Ford,Mondeo,1.8,Diesel,1999,104544,6058,1.8,1999,104544.0,6058.0
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,1.0,1999,80589.0,4937.0
Ford,Mondeo,1.4,Diesel,2000,128137,4771,1.4,2000,128137.0,4771.0
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,2.0,1992,169078.0,3074.0
VW,Passat,1.6,Petrol,2016,64344,23641,1.6,2016,64344.0,23641.0
VW,Passat,1.6,Diesel,1993,176456,2274,1.6,1993,176456.0,2274.0
Ford,Focus,1.4,Petrol,1985,179526,1105,1.4,1985,179526.0,1105.0
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,1.8,1999,162425.0,5396.0
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,2.4,2021,14070.0,42975.125
BMW,Z4,2.4,Petrol,1993,226492,1799,2.4,1993,226492.0,1799.0
Ford,Fiesta,1.2,Petrol,1995,183332,1330,1.2,1995,183332.0,1330.0
VW,Golf,2.0,Petrol,1990,118673,2543,2.0,1990,118673.0,2543.0
Toyota,Prius,1.0,Hybrid,1993,333629,478,1.0,1993,314974.125,478.0
VW,Passat,1.8,Diesel,1991,155034,2526,1.8,1991,155034.0,2526.0
Toyota,Yaris,1.2,Petrol,1990,200892,947,1.2,1990,200892.0,947.0
Ford,Focus,1.8,Petrol,2020,22371,40336,1.8,2020,22371.0,40336.0
Ford,Mondeo,1.6,Diesel,2015,21834,28435,1.6,2015,21834.0,28435.0
Ford,Focus,1.0,Petrol,1985,223615,633,1.0,1985,223615.0,633.0
Ford,Mondeo,1.6,Diesel,2007,100798,10008,1.6,2007,100798.0,10008.0
BMW,Z4,2.4,Petrol,1997,103758,6532,2.4,1997,103758.0,6532.0
Ford,Fiesta,1.2,Petrol,1997,156919,1901,1.2,1997,156919.0,1901.0
Toyota,Yaris,1.0,Petrol,2008,42621,9591,1.0,2008,42621.0,9591.0
VW,Passat,1.4,Diesel,2010,64359,15563,1.4,2010,64359.0,15563.0
Ford,Focus,2.0,Petrol,2002,180048,4086,2.0,2002,180048.0,4086.0
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,1.6,2005,142689.0,7247.0
VW,Passat,1.6,Diesel,2018,22122,36634,1.6,2018,22122.0,36634.0
BMW,M5,4.4,Petrol,1987,226046,2956,2.9000000000000004,1987,226046.0,2956.0
Ford,Focus,1.4,Petrol,1987,236315,763,1.4,1987,236315.0,763.0
BMW,M5,4.4,Petrol,2008,109941,31711,2.9000000000000004,2008,109941.0,31711.0
Ford,Fiesta,1.0,Petrol,2009,61615,7859,1.0,2009,61615.0,7859.0
Ford,Focus,1.8,Diesel,1989,297635,585,1.8,1989,297635.0,585.0
Toyota,Prius,1.8,Hybrid,1995,112413,5238,1.8,1995,112413.0,5238.0
Ford,Fiesta,1.2,Petrol,2008,96911,6318,1.2,2008,96911.0,6318.0
VW,Passat,1.6,Diesel,1990,223561,1229,1.6,1990,223561.0,1229.0
VW,Passat,1.4,Diesel,2020,21413,39310,1.4,2020,21413.0,39310.0
BMW,Z4,2.2,Petrol,2018,32319,40706,2.2,2018,32319.0,40706.0
Toyota,RAV4,2.4,Petrol,2021,6829,66031,2.4,2021,6829.0,42975.125
VW,Polo,1.6,Petrol,2010,108111,7878,1.6,2010,108111.0,7878.0
Ford,Mondeo,1.6,Diesel,1998,137896,4132,1.6,1998,137896.0,4132.0
Ford,Focus,1.6,Petrol,2013,66163,18269,1.6,2013,66163.0,18269.0
VW,Passat,1.6,Diesel,2010,66410,16414,1.6,2010,66410.0,16414.0
BMW,Z4,2.2,Petrol,2014,61332,26084,2.2,2014,61332.0,26084.0
Toyota,RAV4,2.4,Petrol,2016,34379,40646,2.4,2016,34379.0,40646.0
Porsche,911,3.5,Petrol,2003,107705,24378,2.9000000000000004,2003,107705.0,24378.0
VW,Golf,1.8,Diesel,2014,28530,23034,1.8,2014,28530.0,23034.0
VW,Passat,1.6,Diesel,2015,57933,24207,1.6,2015,57933.0,24207.0
BMW,Z4,2.4,Petrol,1997,146910,4671,2.4,1997,146910.0,4671.0
Toyota,Prius,1.4,Hybrid,2001,152067,5040,1.4,2001,152067.0,5040.0
BMW,M5,4.0,Petrol,2003,123913,19474,2.9000000000000004,2003,123913.0,19474.0
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,1.8,2005,119097.0,11398.0
VW,Golf,1.2,Diesel,2008,97150,8066,1.2,2008,97150.0,8066.0
Ford,Focus,2.0,Petrol,2010,86405,14567,2.0,2010,86405.0,14567.0
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,1.2,2001,85798.0,5959.0
VW,Golf,2.0,Diesel,2015,50628,22743,2.0,2015,50628.0,22743.0
BMW,Z4,3.0,Petrol,2014,80934,26708,2.9000000000000004,2014,80934.0,26708.0
VW,Polo,1.0,Petrol,1998,97043,3036,1.0,1998,97043.0,3036.0
Toyota,Yaris,1.0,Petrol,2001,58770,5438,1.0,2001,58770.0,5438.0
VW,Passat,1.8,Petrol,2008,84855,12800,1.8,2008,84855.0,12800.0
VW,Passat,1.6,Diesel,2014,50898,23677,1.6,2014,50898.0,23677.0
Ford,Focus,1.6,Diesel,1998,152532,3704,1.6,1998,152532.0,3704.0
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,1.8,2001,212899.0,3981.0
VW,Golf,1.6,Petrol,2001,140596,3988,1.6,2001,140596.0,3988.0
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,2.4,1988,256489.0,1183.0
BMW,X3,3.0,Petrol,2018,20441,53379,2.9000000000000004,2018,20441.0,42975.125
Toyota,Yaris,1.2,Petrol,1986,147185,1145,1.2,1986,147185.0,1145.0
BMW,M5,4.4,Petrol,1997,172030,9255,2.9000000000000004,1997,172030.0,9255.0
Ford,Focus,1.8,Petrol,2005,149956,6094,1.8,2005,149956.0,6094.0
VW,Passat,1.6,Diesel,2009,134426,9345,1.6,2009,134426.0,9345.0
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,1.8,2010,91688.0,19491.0
Toyota,Prius,1.8,Hybrid,2005,41969,16500,1.8,2005,41969.0,16500.0
VW,Passat,2.0,Petrol,2013,38210,25482,2.0,2013,38210.0,25482.0
Toyota,Prius,1.0,Hybrid,2012,46972,19023,1.0,2012,46972.0,19023.0
BMW,X3,2.0,Diesel,2018,27389,44018,2.0,2018,27389.0,42975.125
VW,Polo,2.0,Petrol,1995,128234,2778,2.0,1995,128234.0,2778.0
VW,Passat,1.4,Diesel,2008,112309,9705,1.4,2008,112309.0,9705.0
VW,Polo,1.4,Petrol,1984,225099,489,1.4,1984,225099.0,489.0
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,2.6,2003,105361.0,15069.0
Ford,Focus,1.4,Petrol,2005,97979,8039,1.4,2005,97979.0,8039.0
Ford,Mondeo,1.6,Petrol,2016,40104,26053,1.6,2016,40104.0,26053.0
VW,Passat,2.0,Petrol,1993,158259,2822,2.0,1993,158259.0,2822.0
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,2.9000000000000004,2018,20634.0,42975.125
BMW,Z4,2.0,Petrol,2010,98644,14728,2.0,2010,98644.0,14728.0
Ford,Focus,2.0,Petrol,1991,176358,2025,2.0,1991,176358.0,2025.0
Ford,Mondeo,1.8,Diesel,1998,69223,7267,1.8,1998,69223.0,7267.0
BMW,X3,3.0,Petrol,2008,20860,27342,2.9000000000000004,2008,20860.0,27342.0
Toyota,RAV4,2.0,Petrol,2009,59936,19881,2.0,2009,59936.0,19881.0
VW,Polo,1.4,Petrol,2012,58214,11916,1.4,2012,58214.0,11916.0
Ford,Fiesta,1.4,Petrol,2020,33832,22982,1.4,2020,33832.0,22982.0
VW,Golf,1.2,Diesel,2009,104436,8174,1.2,2009,104436.0,8174.0
BMW,Z4,2.0,Petrol,1992,249377,1246,2.0,1992,249377.0,1246.0
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,2.6,2003,143603.0,10667.0
Ford,Mondeo,1.8,Diesel,2007,115932,9481,1.8,2007,115932.0,9481.0
Ford,Fiesta,1.4,Petrol,2016,61363,14854,1.4,2016,61363.0,14854.0
VW,Polo,2.0,Petrol,2016,17810,23636,2.0,2016,17810.0,23636.0
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,1.8,2021,8120.0,42975.125
VW,Polo,2.0,Petrol,1990,142888,1771,2.0,1990,142888.0,1771.0
Toyota,Yaris,1.0,Petrol,2009,68094,8721,1.0,2009,68094.0,8721.0
Ford,Mondeo,2.0,Diesel,2016,51724,28482,2.0,2016,51724.0,28482.0
VW,Polo,1.0,Petrol,1998,224106,1062,1.0,1998,224106.0,1062.0
Ford,Fiesta,1.0,Petrol,2009,83796,6768,1.0,2009,83796.0,6768.0
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,2.2,2012,91325.0,24685.0
VW,Passat,2.0,Diesel,1997,173089,3416,2.0,1997,173089.0,3416.0
Ford,Focus,2.0,Diesel,2013,75451,20153,2.0,2013,75451.0,20153.0
Toyota,Prius,1.0,Hybrid,2006,103766,8671,1.0,2006,103766.0,8671.0
Ford,Mondeo,1.6,Diesel,2014,82221,18224,1.6,2014,82221.0,18224.0
VW,Passat,1.6,Diesel,1985,19000,4129,1.6,1985,19000.0,4129.0
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,2.4,2012,94338.0,25232.0
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,2.6,2019,20147.0,42975.125
VW,Polo,1.2,Diesel,2018,37411,19649,1.2,2018,37411.0,19649.0
Toyota,Yaris,1.2,Petrol,2004,179016,2914,1.2,2004,179016.0,2914.0
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,2.0,1999,206584.0,3542.0
Toyota,Prius,1.0,Hybrid,1996,87664,5001,1.0,1996,87664.0,5001.0
Ford,Mondeo,1.8,Diesel,2016,29439,30886,1.8,2016,29439.0,30886.0
Ford,Focus,1.0,Diesel,2006,120770,6429,1.0,2006,120770.0,6429.0
Ford,Mondeo,1.6,Diesel,1998,246137,1614,1.6,1998,246137.0,1614.0
Toyota,Prius,1.4,Hybrid,2012,72136,19139,1.4,2012,72136.0,19139.0
Ford,Focus,2.0,Diesel,2001,147478,5272,2.0,2001,147478.0,5272.0
BMW,Z4,2.4,Petrol,1997,149908,4558,2.4,1997,149908.0,4558.0
BMW,M5,4.4,Petrol,1997,66783,20664,2.9000000000000004,1997,66783.0,20664.0
Ford,Mondeo,1.4,Diesel,2020,18929,37720,1.4,2020,18929.0,37720.0
VW,Golf,1.4,Diesel,2013,53405,16365,1.4,2013,53405.0,16365.0
VW,Golf,1.4,Diesel,2001,136439,4049,1.4,2001,136439.0,4049.0
VW,Polo,1.2,Petrol,2001,110779,3670,1.2,2001,110779.0,3670.0
VW,Golf,2.0,Petrol,1991,188856,1528,2.0,1991,188856.0,1528.0
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,1.0,2013,12867.0,19025.0
Ford,Focus,2.0,Diesel,1994,162098,2930,2.0,1994,162098.0,2930.0
Ford,Mondeo,1.6,Diesel,2013,79521,17370,1.6,2013,79521.0,17370.0
Ford,Mondeo,1.8,Diesel,2011,97523,14195,1.8,2011,97523.0,14195.0
VW,Golf,1.6,Petrol,1994,104541,3304,1.6,1994,104541.0,3304.0
VW,Golf,1.6,Petrol,2016,57451,19835,1.6,2016,57451.0,19835.0
Toyota,Yaris,1.2,Petrol,2003,104794,4947,1.2,2003,104794.0,4947.0
Toyota,Yaris,1.0,Petrol,2002,227469,1517,1.0,2002,227469.0,1517.0
VW,Passat,1.8,Diesel,2006,81107,12073,1.8,2006,81107.0,12073.0
Ford,Fiesta,1.2,Petrol,2008,79566,7142,1.2,2008,79566.0,7142.0
Toyota,Yaris,1.4,Petrol,2007,85068,8043,1.4,2007,85068.0,8043.0
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,2.0,2000,123838.0,8299.0
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,2.2,2014,66511.0,33453.0
VW,Passat,1.6,Diesel,1999,207639,2584,1.6,1999,207639.0,2584.0
BMW,X3,3.0,Diesel,1990,150375,3510,2.9000000000000004,1990,150375.0,3510.0
VW,Passat,1.4,Diesel,2013,70458,18256,1.4,2013,70458.0,18256.0
Toyota,Prius,1.8,Hybrid,2016,44550,33820,1.8,2016,44550.0,33820.0
VW,Passat,1.6,Petrol,2012,53390,19428,1.6,2012,53390.0,19428.0
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,2.6,2015,46563.0,42975.125
Ford,Fiesta,1.0,Petrol,2002,184586,1916,1.0,2002,184586.0,1916.0
Ford,Fiesta,1.2,Petrol,2004,160915,2933,1.2,2004,160915.0,2933.0
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,1.0,2022,5179.0,36086.0
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,1.4,2003,181179.0,3468.0
VW,Polo,1.4,Petrol,2019,23181,23449,1.4,2019,23181.0,23449.0
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,1.4,2016,66611.0,19942.0
VW,Golf,1.8,Hybrid,1999,105901,5810,1.8,1999,105901.0,5810.0
Ford,Focus,1.4,Diesel,2014,24652,24721,1.4,2014,24652.0,24721.0
Toyota,Yaris,1.0,Petrol,1995,255196,737,1.0,1995,255196.0,737.0
VW,Polo,1.0,Petrol,2014,24579,14089,1.0,2014,24579.0,14089.0
Toyota,RAV4,1.8,Petrol,2021,21354,52908,1.8,2021,21354.0,42975.125
VW,Golf,2.0,Petrol,1991,117615,2741,2.0,1991,117615.0,2741.0
Ford,Focus,2.0,Petrol,1999,135077,4855,2.0,1999,135077.0,4855.0
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,2.0,2006,94325.0,15441.0
Ford,Fiesta,1.4,Petrol,2010,96320,7831,1.4,2010,96320.0,7831.0
VW,Golf,1.6,Petrol,1990,137231,1967,1.6,1990,137231.0,1967.0
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,2.2,2015,35448.0,42975.125
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,2.0,1995,142544.0,5129.0
BMW,M5,4.0,Petrol,2012,46755,60859,2.9000000000000004,2012,46755.0,42975.125
VW,Polo,1.6,Petrol,2001,97700,4668,1.6,2001,97700.0,4668.0
BMW,M5,5.0,Petrol,2016,42059,91415,2.9000000000000004,2016,42059.0,42975.125
VW,Polo,1.6,Petrol,2012,48576,13537,1.6,2012,48576.0,13537.0
VW,Polo,1.4,Petrol,2006,76691,7067,1.4,2006,76691.0,7067.0
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,1.8,2017,15473.0,42975.125
Ford,Focus,2.0,Petrol,2000,110549,6273,2.0,2000,110549.0,6273.0
Ford,Fiesta,1.0,Petrol,1992,183342,994,1.0,1992,183342.0,994.0
Ford,Focus,1.4,Petrol,2012,94259,13169,1.4,2012,94259.0,13169.0
Ford,Mondeo,1.4,Diesel,2018,42017,28904,1.4,2018,42017.0,28904.0
VW,Golf,1.2,Petrol,1990,159547,1420,1.2,1990,159547.0,1420.0
VW,Polo,1.4,Petrol,2000,73749,4833,1.4,2000,73749.0,4833.0
Toyota,Yaris,1.0,Hybrid,2009,63292,10802,1.0,2009,63292.0,10802.0
VW,Passat,1.4,Diesel,2013,71904,18080,1.4,2013,71904.0,18080.0
Ford,Mondeo,1.4,Diesel,2006,159969,5504,1.4,2006,159969.0,5504.0
Toyota,Yaris,1.2,Petrol,2013,75588,11861,1.2,2013,75588.0,11861.0
Ford,Mondeo,1.4,Diesel,2018,18334,33119,1.4,2018,18334.0,33119.0
VW,Polo,1.2,Petrol,1995,175506,1460,1.2,1995,175506.0,1460.0
Toyota,Prius,1.8,Hybrid,1985,235671,949,1.8,1985,235671.0,949.0
VW,Polo,1.0,Petrol,1996,144412,1846,1.0,1996,144412.0,1846.0
BMW,M5,4.4,Petrol,2008,79613,39453,2.9000000000000004,2008,79613.0,39453.0
BMW,M5,4.4,Petrol,2004,108396,24571,2.9000000000000004,2004,108396.0,24571.0
Porsche,Cayenne,3.0,Petrol,2013,68093,39031,2.9000000000000004,2013,68093.0,39031.0
Ford,Mondeo,1.6,Hybrid,2019,30152,40482,1.6,2019,30152.0,40482.0
Porsche,911,3.0,Petrol,2015,44761,77091,2.9000000000000004,2015,44761.0,42975.125
Toyota,Yaris,1.0,Petrol,2012,52525,11780,1.0,2012,52525.0,11780.0
Toyota,Yaris,1.0,Petrol,2005,145747,3754,1.0,2005,145747.0,3754.0
Ford,Mondeo,1.8,Diesel,2016,16626,33172,1.8,2016,16626.0,33172.0
Ford,Mondeo,1.4,Diesel,1998,155019,3364,1.4,1998,155019.0,3364.0
Toyota,Prius,1.4,Hybrid,1996,188308,2658,1.4,1996,188308.0,2658.0
Ford,Focus,2.0,Petrol,2001,72923,8773,2.0,2001,72923.0,8773.0
VW,Golf,1.4,Diesel,2007,104718,7710,1.4,2007,104718.0,7710.0
VW,Polo,2.0,Petrol,1992,258967,731,2.0,1992,258967.0,731.0
VW,Golf,1.2,Hybrid,2000,168963,3069,1.2,2000,168963.0,3069.0
Ford,Focus,2.0,Diesel,1993,90439,4786,2.0,1993,90439.0,4786.0
Toyota,Prius,1.4,Hybrid,1991,213652,1523,1.4,1991,213652.0,1523.0
Toyota,RAV4,2.2,Hybrid,2012,100268,23140,2.2,2012,100268.0,23140.0
VW,Golf,2.0,Petrol,2019,26479,32650,2.0,2019,26479.0,32650.0
VW,Passat,1.4,Diesel,2009,109384,10605,1.4,2009,109384.0,10605.0
Ford,Focus,2.0,Petrol,2014,39083,25884,2.0,2014,39083.0,25884.0
VW,Passat,2.0,Petrol,2002,73945,9749,2.0,2002,73945.0,9749.0
Ford,Fiesta,1.4,Petrol,2008,114007,6011,1.4,2008,114007.0,6011.0
Toyota,Prius,1.8,Hybrid,2003,125903,8052,1.8,2003,125903.0,8052.0
VW,Polo,1.4,Petrol,1998,126188,2884,1.4,1998,126188.0,2884.0
Porsche,911,3.0,Petrol,1990,178957,5344,2.9000000000000004,1990,178957.0,5344.0
Ford,Mondeo,1.6,Diesel,1996,118258,4217,1.6,1996,118258.0,4217.0
Toyota,Yaris,1.4,Hybrid,2004,100476,7076,1.4,2004,100476.0,7076.0
Ford,Focus,1.0,Petrol,1985,288486,347,1.0,1985,288486.0,347.0
VW,Passat,2.0,Diesel,1997,50121,8564,2.0,1997,50121.0,8564.0
Porsche,911,2.6,Petrol,2003,130068,17702,2.6,2003,130068.0,17702.0
VW,Golf,1.8,Petrol,1992,135772,2412,1.8,1992,135772.0,2412.0
VW,Golf,1.8,Petrol,2010,70562,12942,1.8,2010,70562.0,12942.0
Ford,Focus,2.0,Diesel,2003,139651,6417,2.0,2003,139651.0,6417.0
Ford,Focus,1.6,Petrol,2004,106068,7575,1.6,2004,106068.0,7575.0
Porsche,718 Cayman,2.0,Petrol,2019,18978,54090,2.0,2019,18978.0,42975.125
VW,Polo,1.6,Diesel,2000,85142,5015,1.6,2000,85142.0,5015.0
Ford,Mondeo,1.6,Diesel,2012,64490,17978,1.6,2012,64490.0,17978.0
Toyota,Yaris,1.0,Petrol,1993,121417,2045,1.0,1993,121417.0,2045.0
Ford,Focus,1.0,Petrol,2018,19640,26712,1.0,2018,19640.0,26712.0
Toyota,RAV4,2.2,Hybrid,2009,99740,19019,2.2,2009,99740.0,19019.0
Toyota,Yaris,1.4,Petrol,2004,159279,3718,1.4,2004,159279.0,3718.0
Ford,Focus,1.4,Petrol,1996,86718,4782,1.4,1996,86718.0,4782.0
Porsche,718 Cayman,4.0,Petrol,1993,150186,5438,2.9000000000000004,1993,150186.0,5438.0
BMW,M5,4.4,Petrol,2019,20736,118474,2.9000000000000004,2019,20736.0,42975.125
VW,Polo,1.4,Petrol,1986,70039,1948,1.4,1986,70039.0,1948.0
BMW,X3,3.0,Diesel,2017,30285,49606,2.9000000000000004,2017,30285.0,42975.125
Toyota,Yaris,1.2,Petrol,2016,38795,18326,1.2,2016,38795.0,18326.0
Toyota,RAV4,2.4,Hybrid,1995,203197,3359,2.4,1995,203197.0,3359.0
Toyota,RAV4,2.4,Petrol,2011,80839,21637,2.4,2011,80839.0,21637.0
VW,Golf,1.4,Petrol,2002,174535,3010,1.4,2002,174535.0,3010.0
VW,Passat,1.6,Petrol,1993,131899,3125,1.6,1993,131899.0,3125.0
Ford,Focus,1.0,Petrol,2021,14063,33627,1.0,2021,14063.0,33627.0
BMW,Z4,2.4,Petrol,1996,149048,4294,2.4,1996,149048.0,4294.0
VW,Polo,1.0,Petrol,1990,145249,1229,1.0,1990,145249.0,1229.0
Toyota,Prius,1.0,Hybrid,2007,61357,12446,1.0,2007,61357.0,12446.0
Toyota,Yaris,1.2,Hybrid,1997,13000,7167,1.2,1997,13000.0,7167.0
Ford,Fiesta,1.4,Petrol,1986,263206,384,1.4,1986,263206.0,384.0
Toyota,Yaris,1.4,Petrol,2010,52847,12174,1.4,2010,52847.0,12174.0
VW,Passat,1.6,Diesel,2009,100782,12083,1.6,2009,100782.0,12083.0
VW,Polo,1.0,Petrol,1999,193458,1491,1.0,1999,193458.0,1491.0
Toyota,Yaris,1.2,Petrol,1997,174912,1892,1.2,1997,174912.0,1892.0
